Rating,Promotion,Show,Date,Year,Match Listing,Match Type,Notes,Card,S/M,Amount,Participants
3,AJW,House Show,25/02/1981,1981,Jackie Sato (c) vs. Rimi Yokota,WWWA World Title Match,,,S,2,"jackiesato1, jaguaryokota1, , , , , , , ,"
2,AJW,House Show,25/02/1981,1981,Yumi Ikeshita (c) vs. Mimi Hagiwara,All-Pacific Title Match,,,S,2,"yumiikeshita1, mimihagiwara1, , , , , , , ,"
2,AJW,House Show,01/02/1981,1981,Devil Masami vs. Chigusa Nagayo,Singles Match,Month Only,,S,2,"devilmasami1, chigusanagayo1, , , , , , , ,"
2,AJW,House Show,01/02/1981,1981,Rimi Yokota & Jackie Sato vs. Ayumi Hori & Nancy Kumi,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"jaguaryokota1, jackiesato1, jumbohori1, nancykumi1, , , , , ,"
1,AJW,House Show,01/02/1981,1981,Rimi Yokota & Tomoko Kitamura vs. Wendi Richter & Leilani Kai,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"jaguaryokota1, leilanikai1, wendirichter1, lionessasuka1, , , , , ,"
3,AJW,House Show,04/01/1981,1981,"Rimi Yokota, Jackie Sato & Mimi Hagiwara vs. Mami Kumano, Yumi Ikeshita & Leilani Kai",Best Two Out Of Three Falls Six Person Tag Match,,,M,6,"jaguaryokota1, jackiesato1, mimihagiwara1, mamikumano1, yumiikeshita1, leilanikai1, , , ,"
2,AJW,House Show,04/01/1981,1981,Nancy Kumi vs. Lucy Kayama,Singles Match,,,S,2,"nancykumi1, lucykayama1, , , , , , , ,"
1,AJW,House Show,04/01/1981,1981,Tomoko Kitamura vs. Noriko Kawakami,Junior Heavyweight Title Match,,,S,2,"lionessasuka1, norikokawakami1, , , , , , , ,"
1,AJW,House Show,04/01/1981,1981,Devil Masami & Wendi Richter vs. Ayumi Hori & Hitomi Okumura,Tag Team Match,,,M,4,"devilmasami1, wendirichter1, jumbohori1, hitomiokumura1, , , , , ,"
2,AJW,House Show,01/01/1981,1981,Mimi Hagiwara vs. Lucy Kayama,Singles Match,Month Only,,S,2,"mimihagiwara1, lucykayama1, , , , , , , ,"
2,AJW,House Show,01/01/1981,1981,"Devil Masami, Mami Kumano, Wendi Richter vs. Yukari Omori, Mimi Hagiwara, Tomoko Kitamura",Best Two Out Of Three Falls Six Man Tag Match,Month Only,,M,6,"devilmasami1, mamikumano1, wendirichter1, yukariomori1, mimihagiwara1, lionessasuka1, , , ,"
2,AJW,House Show,01/01/1981,1981,Jackie Sato vs. Mami Kumano,Singles Match,Month Only,,S,2,"jackiesato1, mamikumano1, , , , , , , ,"
4.25,AJW,House Show,16/12/1980,1980,Jackie Sato vs. Rimi Yokota,Singles Match,,,S,2,"jackiesato1, jaguaryokota1, , , , , , , ,"
3,AJW,House Show,27/11/1980,1980,Mimi Hagiwara & Lucy Kayama vs. Mami Kumano & Irma Aguilar,Best Two Out Of Three Falls Tag Team Match,,,M,4,"mimihagiwara1, lucykayama1, mamikumano1, irmaaguilar1, , , , , ,"
3,AJW,House Show,27/11/1980,1980,Jackie Sato vs. Devil Masami,Singles Match,,,S,2,"jackiesato1, devilmasami1, , , , , , , ,"
3,AJW,House Show,05/11/1980,1980,Lucy Kayama & Ayumi Hori vs. Monster Ripper & Noriko Kawakami,Best Two Out Of Three Falls Tag Team Match,,,M,4,"lucykayama1, jumbohori1, berthafaye1, norikokawakami1, , , , , ,"
2,AJW,House Show,05/11/1980,1980,Kaoru Mastumoto vs. Kazue Sakamoto,Rookie Tournament Match,,,S,2,"dumpmatsumoto1, kazuesakamoto1, , , , , , , ,"
2,AJW,House Show,05/11/1980,1980,Tomoko Kitamura vs. Hiroe Ito,Singles Match,,,S,2,"lionessasuka1, hiroeito1, , , , , , , ,"
1,AJW,House Show,05/11/1980,1980,Yumi Ikeshita vs. Nancy Kumi,Fuji TV Cup WWWA World Single Title Tournament Match,,,S,2,"yumiikeshita1, nancykumi1, , , , , , , ,"
3,AJW,House Show,01/08/1980,1980,Yumi Ikeshita vs. Rimi Yokota,Singles Match,Month Only,,S,2,"yumiikeshita1, jaguaryokota1, , , , , , , ,"
2,AJW,House Show,01/08/1980,1980,Lucy Kayama vs. Wendi Richter,Singles Match,Month Only,,S,2,"lucykayama1, wendirichter1, , , , , , , ,"
2,AJW,House Show,01/08/1980,1980,Lucy Kayama & Nancy Kumi vs. Leilani Kai & Wendi Richter,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"lucykayama1, nancykumi1, leilanikai1, wendirichter1, , , , , ,"
2,AJW,House Show,01/08/1980,1980,Nancy Kumi & Jackie Sato vs. Mami Kumano & Leilani Kai,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"nancykumi1, jackiesato1, mamikumano1, leilanikai1, , , , , ,"
1,AJW,House Show,01/08/1980,1980,Devil Masami vs. Chino Sato,Singles Match,Month Only,,S,2,"devilmasami1, chinosato1, , , , , , , ,"
2,AJW,House Show,01/07/1980,1980,Jackie Sato vs. Mami Kumano,Singles Match,Month Only,,S,2,"jackiesato1, mamikumano1, , , , , , , ,"
2,AJW,House Show,01/07/1980,1980,"Yumi Ikeshita, Mami Kumano & Leilani Kai vs Nancy Kumi, Lucy Kayama & Jackie Sato",Best Two Out Of Three Falls Six Man Tag Team Match,Month Only,,M,6,"yumiikeshita1, mamikumano1, leilanikai1, nancykumi1, lucykayama1, jackiesato1, , , ,"
1,AJW,House Show,01/07/1980,1980,Monster Ripper & Yumi Ikeshita vs. Rimi Yokota & Ayumi Hori,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"berthafaye1, yumiikeshita1, jaguaryokota1, jumbohori1, , , , , ,"
3,AJW,House Show,01/05/1980,1980,"Tenjin Masami, Monster Ripper & Chabela Romero vs. Rimi Yokota, Nancy Kumi & Jackie Sato",Best Two Out Of Three Falls Tag Team Match,Month Only,,M,6,"devilmasami1, berthafaye1, chabelaromero1, jaguaryokota1, nancykumi1, jackiesato1, , , ,"
4,AJW,House Show,01/04/1980,1980,Lucy Kayama vs. Mami Kumano,Singles Match,Month Only,,S,2,"lucykayama1, mamikumano1, , , , , , , ,"
2,AJW,House Show,01/04/1980,1980,Jaguar Yokota vs. Devil Masami,Singles Match,Month Only,,S,2,"jaguaryokota1, devilmasami1, , , , , , , ,"
2,AJW,House Show,01/04/1980,1980,Mimi Hagiwara & Tomi Aoyama vs Yumi Ikeshita & Yukiko Kawagami,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"mimihagiwara1, tomiaoyama1, yumiikeshita1, yukikokawagami1, , , , , ,"
3,AJW,House Show,15/03/1980,1980,Victoria Fujimi & Nancy Kumi vs. Rimi Yokota & Seika Hanawa,Best Two Out Of Three Falls Tag Team Match,,,M,4,"victoriafujimi1, nancykumi1, jaguaryokota1, seikahanawa1, , , , , ,"
2,AJW,House Show,15/03/1980,1980,Tenjin Masami vs. Ayumi Hori,Singles Match,,,S,2,"devilmasami1, jumbohori1, , , , , , , ,"
2,AJW,House Show,15/03/1980,1980,Jackie Sato vs. Monster Ripper,Singles Match,,,S,2,"jackiesato1, berthafaye1, , , , , , , ,"
2,AJW,House Show,01/03/1980,1980,Tomi Aoyama & Lucy Kayama vs. Yumi Ikeshita & Mami Kumano,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"tomiaoyama1, lucykayama1, yumiikeshita1, mamikumano1, , , , , ,"
1,AJW,House Show,21/02/1980,1980,Jackie Sato & Nancy Kumi vs. Mami Kumano & Yvonne Jennings,Best Two Out Of Three Falls Tag Team Match,,,M,4,"jackiesato1, nancykumi1, mamikumano1, yvonnejennings1, , , , , ,"
1,AJW,House Show,21/02/1980,1980,Lucy Kayama vs. Yumi Ikeshita,All Pacific Title Match,Vacant,,S,2,"lucykayama1, yumiikeshita1, , , , , , , ,"
3,AJW,House Show,05/02/1980,1980,Yumi Ikeshita & Mami Kumano vs. Nancy Kumi & Lucy Kayama,Best Two Out Of Three Falls Tag Team Match,,,M,4,"yumiikeshita1, mamikumano1, nancykumi1, lucykayama1, , , , , ,"
2,AJW,House Show,05/02/1980,1980,Mimi Hagiwara & Chino Sato vs. Tenjin Masami & Hiroko Komine,Tag Team Match,,,M,4,"mimihagiwara1, chinosato1, devilmasami1, hirokokomine1, , , , , ,"
2,AJW,House Show,01/02/1980,1980,Chino Sato vs. Mimi Hagiwara,Singles Match,Month Only,,S,2,"chinosato1, mimihagiwara1, , , , , , , ,"
3,AJW,House Show,04/01/1980,1980,Rimi Yokota vs. Chino Sato,Singles Match,,,S,2,"jaguaryokota1, chinosato1, , , , , , , ,"
3,AJW,House Show,04/01/1980,1980,Jackie Sato vs. Tomi Aoyama,Singles Match,,,S,2,"jackiesato1, tomiaoyama1, , , , , , , ,"
3,AWA,House Show,25/12/1981,1981,Jerry Blackwell & Sheik Adnan Al-Kassie vs. The High Flyers (Greg Gagne & Jim Brunzell),Tag Team Match,,Link,M,4,"jerryblackwell1, adnanalkassie1, jimbrunzell1, greggagne1, , , , , ,"
2,AWA,House Show,25/12/1981,1981,Nick Bockwinkel (c) vs. Billy Robinson,AWA World Heavyweight Title Match,,Link,S,2,"nickbockwinkel1, billyrobinson1, , , , , , , ,"
1,AWA,House Show,25/12/1981,1981,Hulk Hogan vs. Jesse Ventura,Singles Match,,Link,S,2,"hulkhogan1, jesseventura1, , , , , , , ,"
3,AWA,House Show,03/12/1981,1981,Jerry Blackwell vs. Billy Robinson,Singles Match,,Link,S,2,"jerryblackwell1, billyrobinson1, , , , , , , ,"
3,AWA,House Show,08/11/1981,1981,Andre The Giant & Hulk Hogan vs. Jerry Blackwell & The East-West Connection (Adrian Adonis & Jesse Ventura),Three On Two Handicap Match,,Link,M,5,"andrethegiant1, hulkhogan1, jerryblackwell1, adrianadonis1, jesseventura1, , , , ,"
4,AWA,House Show,05/11/1981,1981,Bobby Duncum vs. Billy Robinson,Singles Match,,Link,S,2,"billyrobinson1, bobbyduncum1, , , , , , , ,"
1,AWA,House Show,04/10/1981,1981,Hulk Hogan vs. Jerry Blackwell,Singles Match,,Link,S,2,"hulkhogan1, jerryblackwell1, , , , , , , ,"
2,AWA,House Show,13/09/1981,1981,Ray Stevens vs. Billy Robinson,Singles Match,,Link,S,2,"raystevens1, billyrobinson1, , , , , , , ,"
2,AWA,House Show,13/09/1981,1981,Nick Bockwinkel vs. Sheik Adnan Al-Kassie,No Disqualification Match,,Link,S,2,"nickbockwinkel1, adnanalkassie1, , , , , , , ,"
4.25,AWA,House Show,16/07/1981,1981,Nick Bockwinkel (c) vs. Jim Brunzell,AWA World Heavyweight Title Match,,Link,S,2,"nickbockwinkel1, jimbrunzell1, , , , , , , ,"
3,AWA,House Show,28/06/1981,1981,Jim Brunzell vs. Adrian Adonis,Singles Match,,Link,S,2,"jimbrunzell1, adrianadonis1, , , , , , , ,"
3,AWA,House Show,11/06/1981,1981,Jim Brunzell vs. Nick Bockwinkel,Singles Match,,Link,S,2,"jimbrunzell1, nickbockwinkel1, , , , , , , ,"
2,AWA,House Show,14/05/1981,1981,Nick Bockwinkel & Ray Stevens vs. The High Flyers (Greg Gagne & Jim Brunzell),AWA World Tag Team Title #1 Contendership Match,,Link,M,4,"nickbockwinkel1, raystevens1, greggagne1, jimbrunzell1, , , , , ,"
1,AWA,House Show,14/05/1981,1981,Tito Santana vs. Sheik Adnan Al-Kassie,Singles Match,,Link,S,2,"adnanalkassie1, titosantana1, , , , , , , ,"
2,AWA,House Show,10/05/1981,1981,Verne Gagne (c) vs. Nick Bockwinkel,AWA World Heavyweight Title No Disqualification Match,,Link,S,2,"vernegagne1, nickbockwinkel1, , , , , , , ,"
3,AWA,House Show,22/03/1981,1981,The East-West Connection (Adrian Adonis & Jesse Ventura) vs. The High Flyers (Greg Gagne & Jim Brunzell),Non Title Steel Cage Tag Team Match,,Link,M,4,"adrianadonis1, jesseventura1, greggagne1, jimbrunzell1, , , , , ,"
3,AWA,House Show,01/03/1981,1981,The East-West Connection (Adrian Adonis & Jesse Ventura) (c) vs. The High Flyers (Greg Gagne & Jim Brunzell),AWA World Tag Team Title Match,,Link,M,4,"adrianadonis1, jesseventura1, greggagne1, jimbrunzell1, , , , , ,"
2,AWA,House Show,20/02/1981,1981,Jerry Blackwell & John Studd vs. The High Flyers (Greg Gagne & Jim Brunzell),Tag Team Match,,Link,M,4,"jerryblackwell1, bigjohnstudd1, greggagne1, jimbrunzell1, , , , , ,"
1,AWA,House Show,11/12/1980,1980,Bobby Heenan vs. Mad Dog Vachon,Singles Match,,Link,S,2,"bobbyheenan1, maddogvachon1, , , , , , , ,"
1,AWA,House Show,06/11/1980,1980,Andre The Giant & Angelo Mosca vs. Jerry Blackwell & John Studd,Tag Team Match,,Link,M,4,"andrethegiant1, angelamosca1, jerryblackwell1, bigjohnstudd1, , , , , ,"
3,AWA,House Show,03/10/1980,1980,Bobby Heenan & Nick Bockwinkel vs. Greg Gagne & The Super Destroyer Mark II,Tag Team Match,,Link,M,4,"bobbyheenan1, nickbockwinkel1, greggagne1, sgtslaughter1, , , , , ,"
1,AWA,House Show,03/10/1980,1980,Dino Bravo vs. Jerry Blackwell,Singles Match,,Link,S,2,"dinobravo1, jerryblackwell1, , , , , , , ,"
3,AWA,Comiskey Park 1980,18/07/1980,1980,Nick Bockwinkel (c) vs. Verne Gagne,AWA World Heavyweight Title Match,,Link,S,2,"nickbockwinkel1, vernegagne1, , , , , , , ,"
3,AWA,House Show,10/07/1980,1980,Nick Bockwinkel (c) vs. Dino Bravo,AWA World Heavyweight Title Match,,Link,S,2,"nickbockwinkel1, dinobravo1, , , , , , , ,"
3,AWA,House Show,22/06/1980,1980,Nick Bockwinkel (c) vs. Jumbo Tsuruta,AWA World Heavyweight Title Match,,Link,S,2,"nickbockwinkel1, jumbotsuruta1, , , , , , , ,"
1,AWA,House Show,22/06/1980,1980,Giant Baba vs. The Super Destroyer Mark II,Singles Match,,Link,S,2,"giantbaba1, sgtslaughter1, , , , , , , ,"
2,AWA,House Show,12/06/1980,1980,Bobby Heenan & Nick Bockwinkel vs. Greg Gagne & The Crusher,Tag Team Match,,Link,M,4,"bobbyheenan1, nickbockwinkel1, greggagne1, thecrusher1, , , , , ,"
2,AWA,House Show,01/05/1980,1980,The Super Destroyer Mark II vs. Greg Gagne,Singles Match,,Link,S,2,"sgtslaughter1, greggagne1, , , , , , , ,"
1,AWA,House Show,01/05/1980,1980,Nick Bockwinkel (c) vs. The Crusher,AWA World Heavyweight Title Match,,Link,S,2,"nickbockwinkel1, thecrusher1, , , , , , , ,"
2,AWA,House Show,23/03/1980,1980,Dino Bravo vs. Jerry Blackwell,Singles Match,,Link,S,2,"dinobravo1, jerryblackwell1, , , , , , , ,"
2,AWA,House Show,13/01/1980,1980,Bobby Heenan vs. Lord Alfred Hayes,Singles Match,,Link,S,2,"bobbyheenan1, lordalfredhayes1, , , , , , , ,"
3,AWA,Comiskey Park 1974,07/09/1974,1974,Verne Gagne (c) vs. Billy Robinson,AWA World Heavyweight Title Match,,Link,S,2,"vernegagne1, billyrobinson1, , , , , , , ,"
3,AWA,All Star Wrestling,06/11/1973,1973,Nick Bockwinkel & Ray Stevens (c) vs. Billy Robinson & Red Bastien,AWA World Tag Title Best Two Out Of Three Falls Match,,,M,4,"nickbockwinkel1, raystevens1, billyrobinson1, redbastien1, , , , , ,"
