Rating,Promotion,Show,Date,Year,Match Listing,Match Type,Notes,Card,S/M,Amount,Participants
3,CWA,Memphis Championship Wrestling TV,07/03/1981,1981,Bill Dundee (c) vs. Tojo Yamamoto & Wayne Ferris,AWA Southern Tag Team Title Two On One Handicap Match,,Link,M,3,"billdundee1, tojoyamamoto1, honkytonkman1, , , , , , ,"
2,CWA,House Show,18/01/1981,1981,Jerry Lawler vs. Joe LeDuc,Singles Match,,Link,S,2,"jerrylawler1, josleduc1, , , , , , , ,"
3,CWA,Memphis Championship Wrestling TV,23/08/1980,1980,Bill Dundee vs. Tommy Rich,Singles Match,,,S,2,"billdundee1, tommyrich1, , , , , , , ,"
3,CWA,Memphis Championship Wrestling TV,07/06/1980,1980,Bill Dundee & Tony Boyles vs. The Blonde Bombers (Wayne Farris & Larry Latham),Tag Team Match,,,M,4,"billdundee1, tonyboyles1, honkytonkman1, moondogspot1, , , , , ,"
2,CWA,Memphis Championship Wrestling TV,24/05/1980,1980,Bill Dundee vs. Paul Ellering,Singles Match,,,S,2,"billdundee1, paulellering1, , , , , , , ,"
1,CWA,Memphis Championship Wrestling TV,26/04/1980,1980,Ricky Morton vs. Sonny King,Singles Match,,,S,2,"rickymorton1, sonnyking1, , , , , , , ,"
3,CWA,Memphis Championship Wrestling TV,19/04/1980,1980,Bill Dundee vs. Larry Latham,Singles Match,,,S,2,"billdundee1, moondogspot1, , , , , , , ,"
2,CWA,Memphis Championship Wrestling TV,08/03/1980,1980,Ricky Morton & Jerry Bryant vs. David Schultz & Dennis Condrey,Tag Team Match,,Link,M,4,"rickymorton1, jerrybryant1, davidschultz1, denniscondrey1, , , , , ,"
2,CWA,Memphis Championship Wrestling TV,27/01/1980,1980,Jerry Lawler vs. Ricky Morton,Singles Match,,Link,S,2,"jerrylawler1, rickymorton1, , , , , , , ,"
4.25,CWA-Europe,World Catch Cup 1980,05/10/1980,1980,Axel Dieter vs. Moose Morowski,Loser Leaves World Catch Cup 1980 Match,,Link,S,2,"axeldieter1, moosemorowski1, , , , , , , ,"
2,CWF,Championship Wrestling,18/11/1981,1981,Jack Brisco vs. Buzz Sawyer,$5000 Challenge Match,,,S,2,"jackbrisco1, buzzsawyer1, , , , , , , ,"
2,CWF,House Show,16/04/1980,1980,Bob Backlund (c) vs. Antonio Inoki,WWF Heavyweight Title Match,,Link,S,2,"bobbacklund1, antonioinoki1, , , , , , , ,"
4,CWF,House Show,08/02/1972,1972,Dory Funk Jr. (c) vs. Jack Brisco,NWA World Heavyweight Title Best Two Out Of Three Falls No Disqualification Match,,Link,S,2,"doryfunkjr1, jackbrisco1, , , , , , , , "
3,EMLL,EMLL TV,09/09/1980,1980,"Andre The Giant & Cien Caras vs. Alfonso Dantes, Herodes & Sangre Chicana",Three On Two Handicap Best Two Out Of Three Falls Match,,Link,M,5,"andrethegiant1, ciencaras1, alfonsodantes1, herodes1, sangrechicana1, , , , ,"
3,FFCP,French Catch,12/10/1974,1974,Daniel Noced & Guy Renault vs. Le Petit Prince & Alain Mitchell,Best Two Out Of Three Falls Tag Team Match,,,S,4,"danielnoced1, guyrenault1, lepetitprince1, alainmitchell1, , , , , ,"
2,FFCP,French Catch,11/07/1974,1974,Jean Pierre Le Comte & Mr. Montreal vs. Bernard Caclard & Fred Magnier,Best Two Out Of Three Falls Tag Team Match,,,M,4,"jeanpierrelecomte1, marcelmontreal1, bernardcaclard1, magnerclement1, , , , , ,"
2,FFCP,French Catch,06/06/1974,1974,Klondike Bill vs. Batman,Singles Match,,,M,2,"klondikebill1, davelarsen1, , , , , , , ,"
3,FFCP,French Catch,30/03/1974,1974,Jacky Corn & Gilbert LeDuc vs. Der Henker & Daniel Schmid,Best Two Out Of Three Falls Tag Team Match,,,M,4,"jackycorn1, gilbertleduc1, crusherverdu1, danielschmidt1, , , , , ,"
2,FFCP,French Catch,22/03/1974,1974,Ted Lamarre vs. Mr. Montreal,Singles Match,,,S,2,"tedlamarre1, marcelmontreal1, , , , , , , ,"
2,FFCP,French Catch,21/03/1974,1974,Bob Genere vs. Pedro Cabrera,Singles Match,,,S,2,"bobbygenele1, pedrocabrera1, , , , , , , ,"
2,FFCP,French Catch,21/03/1974,1974,Guy Mercier & Gerard Taysse vs. Jose Gonzalez & Guy Renault,Best Two Out Of Three Falls Tag Team Match,,,S,4,"guymercier1, gerardtaysse1, josegonzalez1, guyrenault1, , , , , ,"
2,FFCP,French Catch,23/02/1974,1974,Georges Cohen vs. Chico de Oro,Singles Match,,,M,2,"georgescohen1, chicodeoro1, , , , , , , ,"
4,FFCP,French Catch,09/02/1974,1974,"Le Petit Prince, Jean Corne & Alain Mitchell vs. Daniel Noced, Jacky Richard & Guy Renault",Best Two Out Of Three Fals Six Man Tag Team Match,,,M,6,"lepetitprince1, jeancorne1, alainmitchell1, danielnoced1, jackyrichard1, guyrenault1, , , ,"
2,FFCP,French Catch,07/12/1973,1973,Rene Ben Chemoul & Walter Bordes vs. Bruno Asquini & Pierre Lagache,Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, brunoasquini1, pierrelagache1, , , , , ,"
2,FFCP,French Catch,09/11/1973,1973,Jacky Corn vs. Frank Malmoa,Singles Match,,,S,2,"jackycorn1, frankmalmoa1, , , , , , , ,"
2,FFCP,French Catch,12/10/1973,1973,Roger Delaporte vs. Mr. Montreal,Singles Match,,,S,2,"rogerdelaporte1, marcelmontreal1, , , , , , , ,"
3,FFCP,French Catch,03/09/1973,1973,Angelito & El Alami vs. Guy Cavillier & Andre Roux,Best Two Out Of Three Falls Tag Team Match,,,M,4,"angelito1, elalami1, guycavillier1, andreroux1, , , , , ,"
2,FFCP,French Catch,20/08/1973,1973,Georges Cohen & Gerard Bouvet vs. Black Shadow & Josef El Arz,Best Two Out Of Three Falls Tag Team Match,,,M,4,"georgescohen1, gerardbouvet1, reneelarz1, blackshadow1, , , , , ,"
2,FFCP,French Catch,26/07/1973,1973,Ted Lamare vs. Robert Duranton,Singles Match,,,S,2,"tedlamarre1, robertduranton1, , , , , , , ,"
3,FFCP,French Catch,19/07/1973,1973,Jose Gonzalez vs. Batman,Singles Match,,,S,2,"josegonzalez1, davelarsen1, , , , , , , ,"
2,FFCP,French Catch,07/06/1973,1973,Michel Saulnier & Pedro Cabrera vs. Teddy Boys (Guy Renaud & Bobby Genele),Tag Team Match,,,M,4,"michelsaulnier1, pedrocabrera1, bobbygenele1, guyrenault1, , , , , ,"
2,FFCP,French Catch,30/04/1973,1973,Maurice Dumez & Georges Cohen vs. Antonio Montoro & Anton Tejero,Best Two Out Of Three Falls Tag Team Match,,,M,4,"mauricedumez1, georgescohen1, antoniomontoro1, antontejero1, , , , , ,"
4,FFCP,French Catch,16/04/1973,1973,Gilbert LeDuc vs. Bert Mychel,Singles Match,,,S,2,"gilbertleduc1, bertmychel1, , , , , , , ,"
3,FFCP,French Catch,16/03/1973,1973,Le Petit Prince vs. Daniel Noced,Singles Match,,,S,2,"lepetitprince1, danielnoced1, , , , , , , ,"
2,FFCP,French Catch,15/02/1973,1973,Albert Sanniez & Kader Hassouni vs. Bernard Caclard & Pierre Bernaert,Best Two Out Of Three Falls Tag Team Match,,,M,4,"albertsanniez1, abdulkader1, bernardcaclard1, pierrebernaert1, , , , , ,"
3,FFCP,French Catch,10/02/1973,1973,Jacky Corn & Gilbert LeDuc vs Daniel Schmidt & Janek Frisuk,Best Two Out Of Three Falls Tag Team Match,,,M,4,"jackycorn1, gilbertleduc1, danielschmidt1, janekfrisuk1, , , , , ,"
2,FFCP,French Catch,10/02/1973,1973,Der Henker vs. Marcel Montreal,Singles Match,,,S,2,"crusherverdu1, marcelmontreal1, , , , , , , ,"
3,FFCP,French Catch,18/01/1973,1973,Rene Ben Chemoul & Walter Bordes vs. Anton Tejero & Inca Viracocha,Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, antontejero1, incawiracocha1, , , , , ,"
4,FFCP,French Catch,09/10/1972,1972,Michel Saulnier (c) vs. Guy Renault,European Super Lightweight Title Match,,,S,2,"michelsaulnier1, guyrenault1, , , , , , , , "
1,FFCP,French Catch,17/07/1972,1972,Rene Ben Chemoul & Walter Bordes vs. Pierre Lagache & Grelha la Portugais,Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, pierrelagache1, grelhalaportugais1, , , , , , "
3,FFCP,French Catch,05/07/1972,1972,Gilbert LeDuc & Jacky Corn vs. Der Henker,Two On One Handicap Match,,,M,3,"gilbertleduc1, jackycorn1, crusherverdu1, , , , , , , "
3,FFCP,French Catch,05/06/1972,1972,Billy Catanzaro & Pierre Bernaert vs. Marcel Montreal & Vasilios Mantopoulos,Best Two Out Of Three Falls Tag Team Match,,,M,4,"billycatanzaro1, pierrebernaert1, marcelmontreal1, vassiliosmantopoulos1, , , , , , "
2,FFCP,French Catch,13/05/1972,1972,Rene Ben Chemoul & Walter Bordes vs. The Golden Falcons (Golden Falcon #1 & Golden Falcon #2),Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, goldenfalcon1, goldenfalcon2, , , , , , "
2,FFCP,French Catch,24/04/1972,1972,Francis Louis & Jean Claude Bordeaux vs. Antonio Perero & Mota Dos Santos,Best Two Out Of Three Falls Tag Team Match,,,M,4,"francislouis1, jeanclaudebordeaux1, antonioperero1, motadossantos1, , , , , , "
3,FFCP,French Catch,27/03/1972,1972,Jean Corne & Michele Falempin vs. Inca Viracocha & Jose Gonzalez,Best Two Out Of Three Falls Tag Team Match,,,M,4,"jeancorne1, michelfalempin1, incawiracocha1, josegonzalez1, , , , , , "
2,FFCP,French Catch,27/03/1972,1972,Abdul Khan vs. Batman,Singles Match,,,S,2,"abdulkhan1, davelarsen1, , , , , , , , "
2,FFCP,French Catch,28/02/1972,1972,Guy Mercier & Michel Falempin vs. Inca Viracocha & Jo Gonzalez,Best Two Out Of Three Falls Tag Team Match,,,M,4,"guymercier1, michelfalempin1, josegonzalez1, incawiracocha1, , , , , , "
1,FFCP,French Catch,12/02/1972,1972,Rene Ben Chemoul & Walter Bordes vs. Les Libanese Josef El Arz & Black Shadow,Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, reneelarz1, blackshadow1, , , , , , "
2,FFCP,French Catch,31/01/1972,1972,Marcel Manneveau vs. Le Samurai,Singles Match,,,S,2,"marcelmanneveau1, lesamurai1, , , , , , , , "
2,FFCP,French Catch,17/01/1972,1972,Franz van Buyten vs. Rene Lasartesse,Singles Match,,,S,2,"franzvanbuyten1, renelasartesse1, , , , , , , , "
3,FFCP,French Catch,14/12/1971,1971,Petit Prince & Michel Saulnier vs. Bobby Genele & Guy Renault ,Tag Team Match,,,M,4,"lepetitprince1, michelsaulnier1, bobbygenele1, guyrenault1, , , , , ,"
2,FFCP,French Catch,01/11/1971,1971,Jacky Corn & Gass Doukhan vs. Les Blousons Noirs (Marcel Manneveau & Claude Gessat),Best Two Out Of Three Falls Tag Team Match,,,M,4,"jackycorn1, gassdoukhan1, marcelmanneveau1, claudegessat1, , , , , ,"
3,FFCP,French Catch,18/10/1971,1971,M'boba Les Congolais & Pierre Bernaert vs. Vasilios Mantopolous & Jean Claude Trijo,Best Two Out Of Three Falls Tag Team Match,,,M,4,"mbobalescongolais1, pierrebernaert1, vassiliosmantopoulos1, jeanclaudetrijo1, , , , , ,"
2,FFCP,French Catch,20/09/1971,1971,Rene Ben Chemoul & Walter Bordes vs. Anton Tejero & Antonio Montoro,Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, antontejero1, antoniomontoro1, , , , , ,"
2,FFCP,French Catch,21/08/1971,1971,Mammoth Siki vs. L'Homme Masque,Singles Match,,,S,2,"mammothsiki1, lhommemasque1, , , , , , , ,"
2,FFCP,French Catch,31/07/1971,1971,Gilbert LeDuc vs. Der Henker,Singles Match,,,S,2,"gilbertleduc1, crusherverdu1, , , , , , , ,"
2,FFCP,French Catch,24/07/1971,1971,Maurice Dumez vs. Inca Peruano,Singles Match,,,S,2,"mauricedumez1, rockytomayo1, , , , , , , ,"
2,FFCP,French Catch,29/06/1971,1971,Jacky Richard vs. Angelito,Singles Match,,,S,2,"jackyrichard1, angelito1, , , , , , , ,"
3,FFCP,French Catch,19/06/1971,1971,Mota Dos Santos & Pierre Payen vs. Francis Louis & Jean Claude Bordeuax,Best Two Out Of Three Falls Tag Team Match,,,M,4,"motadossantos1, pierrepayen1, francislouis1, jeanclaudebordeaux1, , , , , ,"
3,FFCP,French Catch,14/06/1971,1971,Der Henker & Kamikaze vs. Jacky Corn & Gilbert LeDuc,Best Two Out Of Three Falls Tag Team Match,,,M,4,"crusherverdu1, modestoaledo1, jackycorn1, gilbertleduc1, , , , , ,"
3,FFCP,French Catch,17/05/1971,1971,Batman & Paco Ramirez vs. Inca Wiracocha & Don Gonzalez,Tag Team Match,,,M,4,"davelarsen1, pacoramirez1, incawiracocha1, josegonzalez1, , , , , ,"
4,FFCP,French Catch,07/05/1971,1971,Bobby Genele & Guy Renault vs. Michel Saulnier & Pedro Cabrera,Best Two Out Of Three Falls Tag Team Match,,,M,4,"bobbygenele1, guyrenault1, michelsaulnier1, pedrocabrera1, , , , , ,"
1,FFCP,French Catch,26/04/1971,1971,Jimmy Dula vs. Andre Drapp,Singles Match,,,S,2,"jimmydula1, andredrapp1, , , , , , , ,"
3,FFCP,French Catch,12/03/1971,1971,Billy Catanzaro & Gilbert Lemagourou vs. Albert Sanniez & Bob Remy,Best Two Out Of Three Falls Tag Team Match,,,M,4,"billycatanzaro1, gilbertlemagourou1, albertsanniez1, bobremy1, , , , , ,"
4,FFCP,French Catch,22/02/1971,1971,Le Petit Prince & Francis Louis vs. Jacky Richard & Daniel Noced,Best Two Out Of Three Falls Tag Team Match,,,M,4,"lepetitprince1, francislouis1, jackyrichard1, danielnoced1, , , , , ,"
1,FFCP,French Catch,08/02/1971,1971,Jacky Montalier vs. La Bete Humaine,Singles Match,,,S,2,"jackymontalier1, labetehumaine1, , , , , , , ,"
3,FFCP,French Catch,25/01/1971,1971,Gilbert Cesca & Bruno Asquini vs. Les Blousons Noirs (Marcel Manneveau & Claude Gessat),Best Two Out Of Three Falls Tag Team Match,,,M,4,"gilbertcesca1, brunoasquini1, marcelmanneveau1, claudegessat1, , , , , ,"
2,FFCP,French Catch,02/01/1971,1971,Rene Chemoul & Walter Bordes vs. Golden Falcons (Golden Falcon #1 & Golden Falcon #2),Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, goldenfalcon1, goldenfalcon2, , , , , ,"
3,FFCP,French Catch,12/12/1970,1970,Gilbert LeDuc vs. Bert Mychel,Singles Match,,,S,2,"gilbertleduc1, bertmychel1, , , , , , , ,"
2,FFCP,French Catch,12/12/1970,1970,Der Henker vs .Jacky Corn,Singles Match,,,S,2,"crusherverdu1, jackycorn1, , , , , , , ,"
2,FFCP,French Catch,14/11/1970,1970,Jean Corne & Michel Falempin vs. Jeff Kaye & Ian Gilmour,Tag Team Match,,,M,4,"jeancorne1, michelfalempin1, jeffkaye1, iangilmour1, , , , , ,"
2,FFCP,French Catch,31/10/1970,1970,Jean Ferre vs. Frank Valois,Singles Match,,,S,2,"andrethegiant1, frankvalois1, , , , , , , ,"
4,FFCP,French Catch,26/09/1970,1970,Batman vs. Cesar Leoni,Singles Match,,,S,2,"davelarsen1, cesarleoni1, , , , , , , ,"
2,FFCP,French Catch,26/09/1970,1970,Le Hippie du Ring vs. Gilbert Bernaert,Singles Match,,,S,2,"lehippieduring1, gilbertbernaert1, , , , , , , ,"
3,FFCP,French Catch,22/08/1970,1970,Peter Kayser vs. Guy Mercier,Singles Match,,,S,2,"peterkaiser1, guymercier1, , , , , , , ,"
2,FFCP,French Catch,25/07/1970,1970,Rene Ben Chemoul & Walter Bordes vs. Black Shadow & Josef el Arz,Best Two Out Of Three Falls Tag Team Match,,,M,4,"renebenchemoul1, walterbordes1, blackshadow1, reneelarz1, , , , , ,"
3,FFCP,French Catch,02/05/1970,1970,Bruno Asquini vs. Marcel Manneveau,Singles Match,,,S,2,"brunoasquini1, marcelmanneveau1, , , , , , , ,"
2,FFCP,French Catch,02/05/1970,1970,Michel Saulnier vs. Ricardo Torres,Singles Match,,,S,2,"michelsaulnier1, ricardotorres1, , , , , , , ,"
2,FFCP,French Catch,02/05/1970,1970,Peter Kayser vs. Guy Mercier,Singles Match,,,S,2,"peterkaiser1, guymercier1, , , , , , , ,"
2,FFCP,French Catch,11/04/1970,1970,Guy Mercier vs. Kiyomigawa,Singles Match,,,S,2,"guymercier1, kiyomigawa1, , , , , , , ,"
3,FFCP,French Catch,21/02/1970,1970,Rene Lasartesse vs. Gaby Calderon,Singles Match,,,S,2,"renelasartesse1, gabrielcalderon1, , , , , , , ,"
2,FFCP,French Catch,24/01/1970,1970,Guy Mercier vs. Allan Le Foudre,Singles Match,,,S,2,"guymercier1, charlyverhulst1, , , , , , , ,"
3,FFCP,French Catch,01/01/1970,1970,Jacky Corn & Guy Mercier vs. Ted Lamarre & Jo Marsalo,Best Two Out Of Three Falls Tag Team Match,Month Only,,M,4,"jackycorn1, guymercier1, tedlamarre1, jomarsalo1, , , , , ,"
1,GCW,House Show,09/11/1981,1981,The Masked Superstar (c) vs. Mr. Wrestling II,NWA Georgia Heavyweight Title Match,,Link,S,2,"billeadie1, mrwrestling2, , , , , , , ,"
3,GCW,House Show,04/11/1981,1981,Tommy Rich vs. Austin Idol,Bounty Match,,Link,S,2,"tommyrich1, austinidol1, , , , , , , ,"
2,GCW,House Show,22/08/1981,1981,Bruce Reed vs. The Masked Superstar,Singles Match,,Link,S,2,"butchreed1, billeadie1, , , , , , , ,"
3,GCW,Georgia Championship Wrestling TV,18/07/1981,1981,Jimmy Snuka & Terry Gordy (c) vs. Steve O & Ted DiBiase,NWA National Tag Team Title Match,,Link,M,4,"jimmysnuka1, terrygordy1, steveo1, teddibiase1, , , , , ,"
2,GCW,Georgia Championship Wrestling TV,23/05/1981,1981,Tommy Rich vs. Buck Robley,Singles Match,,,S,2,"tommyrich1, buckrobley1, , , , , , , ,"
2,GCW,Georgia Championship Wrestling TV,23/05/1981,1981,Ted DiBiase & Junkyard Dog vs. The Freebirds (Buddy Roberts & Terry Gordy),Tag Team Match,,,M,4,"teddibiase1, junkyarddog1, buddyroberts1, terrygordy1, , , , , ,"
3,GCW,House Show,28/02/1981,1981,Kevin Sullivan (c) vs. Steve Keirn,NWA National Television Title Match,,Link,S,2,"kevinsullivan1, stevekeirn1, , , , , , , ,"
3,GCW,House Show,07/02/1981,1981,Bobby Eaton (c) vs. Steve Keirn,NWA National Television Title Match,,Link,S,2,"bobbyeaton1, stevekeirn1, , , , , , , ,"
3,GCW,Georgia Championship Wrestling TV,03/01/1981,1981,Les Thornton (c) vs. Kevin Sullivan,NWA World Junior Heavyweight Title Match,Time Limit Draw,Link,S,2,"lesthornton1, kevinsullivan1, , , , , , , ,"
2,GCW,House Show,12/10/1980,1980,Terry Taylor (c) vs. Terry Funk,NWA National Television Title Match,Columbus,Link,S,2,"terrytaylor1, terryfunk1, , , , , , , ,"
2,GCW,Georgia Championship Wrestling TV,04/10/1980,1980,Steve Keirn vs. Mr. Saito,Singles Match,,Link,S,2,"stevekeirn1, masasaito1, , , , , , , ,"
2,GCW,Georgia Championship Wrestling TV,16/08/1980,1980,Steve Keirn vs. Stan Lane,Singles Match,,Link,S,2,"stevekeirn1, stanlane1, , , , , , , ,"
2,GCW,Georgia Championship Wrestling TV,23/02/1980,1980,Mr. Wrestling II vs. Genichiro Tenryu,Singles Match,,Link,S,2,"mrwrestling2, genichirotenryu1, , , , , , , ,"
2,GCW,Georgia Championship Wrestling TV,23/02/1980,1980,Tommy Rich vs. Austin Idol,Singles Match,,Link,S,2,"tommyrich1, austinidol1, , , , , , , ,"
3,Houston,House Show,18/12/1981,1981,The Dynamic Duo (Gino Hernandez & Tully Blanchard) (c) vs. Mil Mascaras & Tito Santana,SWCW Southwest Tag Team Title Match,,Link,M,4,"ginohernandez1, tullyblanchard1, milmascaras1, titosantana1, , , , , ,"
3,Houston,House Show,11/12/1981,1981,Dick Slater & Tommy Rich vs. The Dynamic Duo (Gino Hernandez & Tully Blanchard),Best Two Out Of Three Falls Tag Team Match,,Link,M,4,"dickslater1, tommyrich1, ginohernandez1, tullyblanchard1, , , , , ,"
3,Houston,House Show,04/12/1981,1981,Tully Blanchard vs. Manny Fernandez,Best Two Out Of Three Falls Match,,Link,S,2,"tullyblanchard1, mannyfernandez1, , , , , , , ,"
2,Houston,House Show,04/12/1981,1981,Tully Blanchard vs. Dick Slater,Best Two Out Of Three Falls Match,,Link,S,2,"tullyblanchard1, dickslater1, , , , , , , ,"
4,Houston,House Show,20/11/1981,1981,Tito Santana vs. Nick Bockwinkel,Gold Cup Trophy Best Two Out Of Three Falls Match,,Link,S,2,"titosantana1, nickbockwinkel1, , , , , , , ,"
2,Houston,House Show,20/11/1981,1981,The Dynamic Duo (Gino Hernandez & Tully Blanchard) (c) vs. Dos Caras & Mil Mascaras,SWCW Southwest Tag Team Title Best Two Out Of Three Falls Match,,Link,M,4,"ginohernandez1, tullyblanchard1, doscaras1, milmascaras1, , , , , ,"
3,Houston,Gold Cup Tournament - Day 1,30/10/1981,1981,Mike Graham vs. Tully Blanchard,Gold Cup Tournament Match,,Link,S,2,"mikegraham1, tullyblanchard1, , , , , , , ,"
3,Houston,House Show,25/09/1981,1981,The Junkyard Dog & Tiger Conway Jr. vs. The Dynamic Duo (Gino Hernandez & Tully Blanchard),Tag Team Match,,Link,M,4,"junkyarddog1, tigerconwayjr1, ginohernandez1, tullyblanchard1, , , , , ,"
2,Houston,House Show,18/09/1981,1981,"Bobby Duncum, Scott Casey & Tiger Conway Jr. vs. Buck Robley, Tank Patton & Tully Blanchard",Six Man Tag Team Match,,Link,M,6,"bobbyduncum1, scottcasey1, tigerconwayjr1, tullyblanchard1, buckrobley1, tankpatton1, , , ,"
2,Houston,House Show,18/09/1981,1981,The Dynamic Duo (Gino Hernandez & Tully Blanchard) (c) vs. Manny Fernandez & Mil Mascaras,SWCW Southwest Tag Team Title Match,,Link,M,4,"ginohernandez1, tullyblanchard1, milmascaras1, mannyfernandez1, , , , , ,"
2,Houston,House Show,11/09/1981,1981,Dick Slater (c) vs. Bobby Duncum,Southwest Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"dickslater1, bobbyduncum1, , , , , , , ,"
3,Houston,House Show,04/09/1981,1981,"Ken Patera, Tank Patton & Tully Blanchard vs. Bobby Duncum, Bruiser Brody & Manny Fernandez",10.000 Dollar Elimination Six Man Tag Team Match,,Link,M,6,"kenpatera1, tankpatton1, tullyblanchard1, bobbyduncum1, bruiserbrody1, mannyfernandez1, , , ,"
2,Houston,House Show,04/09/1981,1981,Bruiser Brody (c) vs. Ken Patera,SWCW Brass Knuckles Title Match,,Link,S,2,"bruiserbrody1, kenpatera1, , , , , , , ,"
3,Houston,House Show,24/07/1981,1981,Mike Graham vs. Tully Blanchard,Singles Match,,Link,S,2,"mikegraham1, tullyblanchard1, , , , , , , ,"
2,Houston,House Show,06/03/1981,1981,Abdullah The Butcher vs. Ivan Putski,Singles Match,,Link,S,2,"abdullahthebutcher1, ivanputski1, , , , , , , ,"
3,Houston,House Show,06/02/1981,1981,Wahoo McDaniel vs. Gino Hernandez,NWA World Heavyweight Title #1 Contendership Tournament Final Match,,Link,S,2,"wahoomcdaniel1, ginohernandez1, , , , , , , ,"
2,Houston,House Show,06/02/1981,1981,Ivan Putski vs. Gino Hernandez,NWA World Heavyweight Title #1 Contendership Tournament Semi Final Match,,Link,S,2,"ivanputski1, ginohernandez1, , , , , , , ,"
2,Houston,House Show,23/01/1981,1981,The Funks (Dory Funk Jr. & Terry Funk) (c) vs. Ivan Putski & Wahoo McDaniel,SWCW World Tag Team Title Best Two Out Of Three Falls Match,,Link,M,4,"terryfunk1, doryfunkjr1, ivanputski1, wahoomcdaniel1, , , , , ,"
4,Houston,House Show,16/01/1981,1981,Billy Robinson vs Dory Funk Jr.,Singles Match,,Link,S,2,"billyrobinson1, doryfunkjr1, , , , , , , ,"
3,Houston,House Show,16/01/1981,1981,Scott Casey & Tiger Conway Jr. vs. The Dynamic Duo (Gino Hernandez & Tully Blanchard),Best Two Out Of Three Falls Tag Team Match,,Link,M,4,"scottcasey1, tigerconwayjr1, tullyblanchard1, ginohernandez1, , , , , ,"
3,Houston,House Show,09/01/1981,1981,Tully Blanchard (c) vs. Tiger Conway Jr.,Southwest Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"tullyblanchard1, tigerconwayjr1, , , , , , , ,"
2,Houston,House Show,02/01/1981,1981,Wahoo McDaniel vs. Gary Young,Singles Match,,Link,S,2,"wahoomcdaniel1, garyyoung1, , , , , , , ,"
1,Houston,House Show,02/01/1981,1981,Tully Blanchard vs. Don Diamond,Singles Match,,Link,S,2,"tullyblanchard1, dondiamond1, , , , , , , ,"
1,Houston,House Show,02/01/1981,1981,Andre the Giant vs. Tank Patton,Best Two Out Of Three Falls Match,,Link,S,2,"andrethegiant1, tankpatton1, , , , , , , ,"
2,Houston,House Show,12/12/1980,1980,Harley Race (c) vs. Gino Hernandez,NWA World Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"harleyrace1, ginohernandez1, , , , , , , ,"
1,Houston,House Show,05/12/1980,1980,Gino Hernandez (c) vs. Dusty Rhodes,NWA American Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"ginohernandez1, dustyrhodes1, , , , , , , ,"
2,Houston,Giant Series 1980 - Tag 22,31/10/1980,1980,Stan Stasiak vs. Andre The Giant,Singles Match,,Link,S,2,"stanstasiak1, andrethegiant1, , , , , , , ,"
2,Houston,House Show,24/10/1980,1980,Les Thornton (c) vs. Gino Hernandez,NWA World Junior Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"lesthornton1, ginohernandez1, , , , , , , ,"
2,Houston,House Show,24/10/1980,1980,Dusty Rhodes vs. Ivan Koloff,Texas Death Coffin Match,,Link,S,2,"dustyrhodes1, ivankoloff1, , , , , , , ,"
2,Houston,House Show,03/10/1980,1980,Gino Hernandez (c) vs. Mark Lewin,NWA American Heavyweight Title Best Two Out Of Three Falls With Gary Hart In A Straight Jacket Match,,Link,S,2,"ginohernandez1, marklewin1, , , , , , , ,"
1,Houston,House Show,12/09/1980,1980,Gino Hernandez (c) vs. Mark Lewin,NWA American Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"ginohernandez1, marklewin1, , , , , , , ,"
3,Houston,House Show,29/08/1980,1980,Bruiser Brody vs. Gino Hernandez,Best Two Out Of Three Falls Match,,Link,S,2,"bruiserbrody1, ginohernandez1, , , , , , , ,"
2,Houston,House Show,22/08/1980,1980,Ivan Koloff vs. Tony Atlas,Best Two Out Of Three Falls Match,,Link,S,2,"ivankoloff1, tonyatlas1, , , , , , , ,"
2,Houston,House Show,08/08/1980,1980,Chavo Guerrero vs. Twin Devil 2,Singles Match,,Link,S,2,"chavoguerrero1, gamelodiabloii1, , , , , , , ,"
1,Houston,House Show,16/05/1980,1980,Gino Hernandez vs. Mark Lewin,Best Two Out Of Three Falls With Gary Hart In A Shark Cage Match,,Link,S,2,"ginohernandez1, marklewin1, , , , , , , ,"
1,Houston,House Show,09/05/1980,1980,Gino Hernandez (c) vs. El Sicodelico,NWA Texas Heavyweight Title Best Two Out Of Three Falls Match,,Link,S,2,"ginohernandez1, sicodelico1, , , , , , , ,"
2,Houston,House Show,11/04/1980,1980,Gino Hernandez vs. Gary Young,Best Two Out Of Three Falls Match,,Link,S,2,"ginohernandez1, garyyoung1, , , , , , , ,"
